"Ano Lançamento","Mês Base Lançamento","Esfera Orçamentária",,"UO - Órgão Máximo",,"Unidade Orçamentária",,"Grupo Despesa",,"Modalidade Aplicação",,"Resultado EOF",,"Função Governo",,"Subfunção Governo",,"Programa Governo",,"Ação Governo",,"Região PT","UF PT",,"Município PT","Movim. Líquido - R$ (Item Informação)"
"2025","JANEIRO","1","ORCAMENTO FISCAL","01000","CAMARA DOS DEPUTADOS","01101","CAMARA DOS DEPUTADOS","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","01","LEGISLATIVA","031","ACAO LEGISLATIVA","0034","PROGRAMA DE GESTAO E MANUTENCAO DO PODER LEGISLATIVO","4061","PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA","CENTRO-OESTE","DF","DISTRITO FEDERAL","BRASILIA","1.311.282,70"
"2025","JANEIRO","1","ORCAMENTO FISCAL","01000","CAMARA DOS DEPUTADOS","01101","CAMARA DOS DEPUTADOS","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","01","LEGISLATIVA","122","ADMINISTRACAO GERAL","0034","PROGRAMA DE GESTAO E MANUTENCAO DO PODER LEGISLATIVO","12F2","REFORMA DOS IMOVEIS FUNCIONAIS DESTINADOS A MORADIA DOS DEPU","CENTRO-OESTE","DF","DISTRITO FEDERAL","BRASILIA","1.189.727,96"
"2025","JANEIRO","1","ORCAMENTO FISCAL","01000","CAMARA DOS DEPUTADOS","01901","FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","01","LEGISLATIVA","031","ACAO LEGISLATIVA","0034","PROGRAMA DE GESTAO E MANUTENCAO DO PODER LEGISLATIVO","4061","PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA","CENTRO-OESTE","DF","DISTRITO FEDERAL","BRASILIA","96.835,05"
"2025","JANEIRO","1","ORCAMENTO FISCAL","02000","SENADO FEDERAL","02101","SENADO FEDERAL","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","01","LEGISLATIVA","031","ACAO LEGISLATIVA","0034","PROGRAMA DE GESTAO E MANUTENCAO DO PODER LEGISLATIVO","4061","PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA","CENTRO-OESTE","DF","DISTRITO FEDERAL","BRASILIA","3.963.383,32"
"2025","JANEIRO","1","ORCAMENTO FISCAL","03000","TRIBUNAL DE CONTAS DA UNIAO","03101","TRIBUNAL DE CONTAS DA UNIAO","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","01","LEGISLATIVA","032","CONTROLE EXTERNO","0034","PROGRAMA DE GESTAO E MANUTENCAO DO PODER LEGISLATIVO","4018","FISCALIZACAO DA APLICACAO DOS RECURSOS PUBLICOS FEDERAIS","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","4.387.971,20"
"2025","JANEIRO","1","ORCAMENTO FISCAL","10000","SUPREMO TRIBUNAL FEDERAL","10101","SUPREMO TRIBUNAL FEDERAL","4","INVESTIMENTOS","90","APLICACOES DIRETAS","1","PRIMARIO OBRIGATORIO","02","JUDICIARIA","331","PROTECAO E BENEFICIOS AO TRABALHADOR","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","2004","ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR","CENTRO-OESTE","DF","DISTRITO FEDERAL","BRASILIA","37.719,98"
"2025","JANEIRO","1","ORCAMENTO FISCAL","10000","SUPREMO TRIBUNAL FEDERAL","10101","SUPREMO TRIBUNAL FEDERAL","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","6359","APRECIACAO E JULGAMENTO DE CAUSAS NO SUPREMO TRIBUNAL FEDERA","CENTRO-OESTE","DF","DISTRITO FEDERAL","BRASILIA","1.485.208,11"
"2025","JANEIRO","1","ORCAMENTO FISCAL","11000","SUPERIOR TRIBUNAL DE JUSTICA","11101","SUPERIOR TRIBUNAL DE JUSTICA","4","INVESTIMENTOS","90","APLICACOES DIRETAS","1","PRIMARIO OBRIGATORIO","02","JUDICIARIA","331","PROTECAO E BENEFICIOS AO TRABALHADOR","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","2004","ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR","CENTRO-OESTE","DF","DISTRITO FEDERAL","BRASILIA","250,00"
"2025","JANEIRO","1","ORCAMENTO FISCAL","11000","SUPERIOR TRIBUNAL DE JUSTICA","11101","SUPERIOR TRIBUNAL DE JUSTICA","4","INVESTIMENTOS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","061","ACAO JUDICIARIA","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","4236","APRECIACAO E JULGAMENTO DE CAUSAS","NACIONAL","-8","SEM INFORMACAO","SEM INFORMACAO","667.020,01"
"2025","JANEIRO","1","ORCAMENTO FISCAL","12000","JUSTICA FEDERAL","12101","JUSTICA FEDERAL DE PRIMEIRO GRAU","5","INVERSOES FINANCEIRAS","90","APLICACOES DIRETAS","2","PRIMARIO DISCRICIONARIO","02","JUDICIARIA","122","ADMINISTRACAO GERAL","0033","PROGRAMA DE GESTAO E MANUTENCAO DO PODER JUDICIARIO","166V","AQUISICAO DO EDIFICIO-SEDE DA JUSTICA FEDERAL EM TERESOPOLIS","SUDESTE","RJ","RIO DE JANEIRO","TERESOPOLIS","393.997,50"
